"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",40
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",32
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",125
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",43
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",33.3
"Trailblazers Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",129
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",36
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",30.3
"Trailblazers Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",119
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",451
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6.5
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","English Language Learner","Number",135
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.9
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","Special Education","Number",602
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","Special Education","Percent",8.7
"Trumbull School District",900177200,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",6959
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",615
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.9
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","English Language Learner","Number",112
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.6
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","Special Education","Number",633
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","Special Education","Percent",9.1
"Trumbull School District",900177200,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",6937
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",509
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.5
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","English Language Learner","Number",122
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1.8
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","Special Education","Number",618
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","Special Education","Percent",9.1
"Trumbull School District",900177200,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",6824
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",617
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.2
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","English Language Learner","Number",130
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",1.9
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","Special Education","Number",658
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","Special Education","Percent",9.8
"Trumbull School District",900177200,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",6716
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",633
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.5
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","English Language Learner","Number",133
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","Special Education","Number",689
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","Special Education","Percent",10.3
"Trumbull School District",900177200,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",6687
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",638
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.5
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","English Language Learner","Number",133
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","Special Education","Number",742
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.1
"Trumbull School District",900177200,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",6685
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",670
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.9
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","English Language Learner","Number",142
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.1
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","Special Education","Number",796
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.8
"Trumbull School District",900177200,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",6740
"Unified School District #1",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",744
"Unified School District #1",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100
