"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",15,2,"South Central"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2,2,"South Central"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",65,2,"South Central"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",8.7,2,"South Central"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",745,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",42,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",5.5,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",17,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",2.2,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",62,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",8.1,2,"South Central"
"Woodbridge School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",770,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",45,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",5.6,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",17,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.1,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",71,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",8.9,2,"South Central"
"Woodbridge School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",797,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",57,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.4,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",10,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",1.3,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",68,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",8.8,2,"South Central"
"Woodbridge School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",775,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",64,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.2,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",10,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",1.3,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",78,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",10,2,"South Central"
"Woodbridge School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",780,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",62,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.4,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",16,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",1.9,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",94,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.2,2,"South Central"
"Woodbridge School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",836,2,"South Central"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",42,3,"Eastern"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",3.8,3,"Eastern"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",59,3,"Eastern"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",5.4,3,"Eastern"
"Woodstock Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1098,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",41,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",3.9,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",51,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",4.8,3,"Eastern"
"Woodstock Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1055,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",33,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",3.2,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",57,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",5.5,3,"Eastern"
"Woodstock Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1033,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",25,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",2.5,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",56,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",5.5,3,"Eastern"
"Woodstock Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1012,3,"Eastern"
"Woodstock Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",19,3,"Eastern"
"Woodstock Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",1.9,3,"Eastern"
"Woodstock Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999,3,"Eastern"
"Woodstock Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",50,3,"Eastern"
